 # Source Time function
 # source type CMT
 # scaling scalar moment (M0) =    2.26056663E+25
 # format: #time(s)   #stf   #scalar_moment
   89.918261709955331        1.00000000       2.26056663E+25
   90.002790144789671        1.00000000       2.26056663E+25
   90.087318579624011        1.00000000       2.26056663E+25
   90.171847014458336        1.00000000       2.26056663E+25
   90.256375449292676        1.00000000       2.26056663E+25
   90.340903884127016        1.00000000       2.26056663E+25
   90.425432318961356        1.00000000       2.26056663E+25
   90.509960753795696        1.00000000       2.26056663E+25
   90.594489188630035        1.00000000       2.26056663E+25
   90.679017623464375        1.00000000       2.26056663E+25
   90.763546058298715        1.00000000       2.26056663E+25
   90.848074493133041        1.00000000       2.26056663E+25
   90.932602927967380        1.00000000       2.26056663E+25
   91.017131362801720        1.00000000       2.26056663E+25
   91.101659797636060        1.00000000       2.26056663E+25
   91.186188232470400        1.00000000       2.26056663E+25
   91.270716667304740        1.00000000       2.26056663E+25
   91.355245102139079        1.00000000       2.26056663E+25
   91.439773536973405        1.00000000       2.26056663E+25
   91.524301971807745        1.00000000       2.26056663E+25
   91.608830406642085        1.00000000       2.26056663E+25
   91.693358841476424        1.00000000       2.26056663E+25
   91.777887276310764        1.00000000       2.26056663E+25
   91.862415711145104        1.00000000       2.26056663E+25
   91.946944145979444        1.00000000       2.26056663E+25
   92.031472580813769        1.00000000       2.26056663E+25
   92.116001015648109        1.00000000       2.26056663E+25
   92.200529450482449        1.00000000       2.26056663E+25
   92.285057885316789        1.00000000       2.26056663E+25
   92.369586320151129        1.00000000       2.26056663E+25
   92.454114754985468        1.00000000       2.26056663E+25
   92.538643189819808        1.00000000       2.26056663E+25
   92.623171624654134        1.00000000       2.26056663E+25
   92.707700059488474        1.00000000       2.26056663E+25
   92.792228494322814        1.00000000       2.26056663E+25
   92.876756929157153        1.00000000       2.26056663E+25
   92.961285363991493        1.00000000       2.26056663E+25
   93.045813798825833        1.00000000       2.26056663E+25
   93.130342233660173        1.00000000       2.26056663E+25
   93.214870668494498        1.00000000       2.26056663E+25
